Team,,G,,Rush,,RushYds,,Avg,,Rush/G,,Y/G,,TD,,1stD
Nevada,,5,,217,,711,,3.3,,43.4,,142.2,,7,,43
Coastal Car.,,4,,150,,716,,4.8,,37.5,,179,,14,,31
Old Dominion,,4,,184,,717,,3.9,,46,,179.3,,10,,45
Illinois,,4,,171,,718,,4.2,,42.8,,179.5,,6,,44
UAB,,4,,170,,719,,4.2,,42.5,,179.8,,8,,36
Notre Dame,,5,,189,,721,,3.8,,37.8,,144.2,,1,,35
USC,,5,,172,,736,,4.3,,34.4,,147.2,,5,,39
Ball St.,,5,,185,,744,,4,,37,,148.8,,12,,42
Mississippi St.,,5,,199,,750,,3.8,,39.8,,150,,8,,34
Rutgers,,5,,181,,761,,4.2,,36.2,,152.2,,5,,31
South Carolina,,5,,196,,768,,3.9,,39.2,,153.6,,7,,41
UNLV,,4,,170,,768,,4.5,,42.5,,192,,5,,43
Memphis,,4,,170,,769,,4.5,,42.5,,192.3,,6,,40
Georgia Southern,,3,,132,,778,,5.9,,44,,259.3,,7,,34
Missouri,,4,,182,,779,,4.3,,45.5,,194.8,,14,,42
Air Force,,4,,152,,795,,5.2,,38,,198.8,,10,,32
Miami (OH),,5,,174,,808,,4.6,,34.8,,161.6,,6,,36
N. Mex. St.,,5,,202,,810,,4,,40.4,,162,,10,,43
W. Michigan,,5,,182,,817,,4.5,,36.4,,163.4,,12,,44
Idaho,,4,,175,,831,,4.7,,43.8,,207.8,,9,,40
Akron,,5,,175,,839,,4.8,,35,,167.8,,10,,34
Tulane,,4,,175,,839,,4.8,,43.8,,209.8,,8,,43
Louisiana Tech,,5,,168,,842,,5,,33.6,,168.4,,8,,48
BYU,,5,,222,,845,,3.8,,44.4,,169,,6,,51
Pittsburgh,,5,,175,,850,,4.9,,35,,170,,9,,47
Army,,5,,156,,860,,5.5,,31.2,,172,,9,,44
California,,5,,206,,873,,4.2,,41.2,,174.6,,10,,51
West Virginia,,4,,171,,904,,5.3,,42.8,,226,,6,,37
Toledo,,4,,158,,914,,5.8,,39.5,,228.5,,13,,45
Mississippi,,4,,172,,917,,5.3,,43,,229.3,,11,,41
Wyoming,,5,,248,,923,,3.7,,49.6,,184.6,,8,,56
Charlotte,,5,,213,,944,,4.4,,42.6,,188.8,,14,,53
LA Monroe,,4,,172,,946,,5.5,,43,,236.5,,12,,44
Stanford,,5,,196,,948,,4.8,,39.2,,189.6,,7,,49
Arizona St.,,5,,165,,950,,5.8,,33,,190,,9,,39
Cent. Michigan,,5,,202,,956,,4.7,,40.4,,191.2,,10,,35
Utah St.,,5,,225,,956,,4.2,,45,,191.2,,8,,47
Temple,,5,,201,,997,,5,,40.2,,199.4,,11,,48
Oregon St.,,5,,212,,1011,,4.8,,42.4,,202.2,,14,,59
Vanderbilt,,5,,210,,1023,,4.9,,42,,204.6,,12,,52
Buffalo,,5,,232,,1044,,4.5,,46.4,,208.8,,9,,62
Florida Atlantic,,5,,236,,1107,,4.7,,47.2,,221.4,,11,,54
N. Carolina,,5,,223,,1109,,5,,44.6,,221.8,,8,,56
Kent St.,,5,,195,,1137,,5.8,,39,,227.4,,17,,48
Bowling Green,,5,,224,,1153,,5.1,,44.8,,230.6,,13,,60
Baylor,,5,,222,,1171,,5.3,,44.4,,234.2,,10,,60
UMass,,6,,243,,1176,,4.8,,40.5,,196,,13,,58
Cincinnati,,5,,245,,1189,,4.9,,49,,237.8,,8,,57
La Lafayette,,4,,211,,1196,,5.7,,52.8,,299,,20,,62
UCLA,,4,,187,,1230,,6.6,,46.8,,307.5,,11,,41
Tennessee,,5,,245,,1263,,5.2,,49,,252.6,,11,,60
Boston Coll.,,5,,229,,1295,,5.7,,45.8,,259,,15,,53
UTEP,,5,,231,,1344,,5.8,,46.2,,268.8,,19,,69
East Carolina,,5,,239,,1488,,6.2,,47.8,,297.6,,17,,64
Tulsa,,5,,238,,1599,,6.7,,47.6,,319.8,,14,,72
San Jose St.,,6,,344,,1743,,5.1,,57.3,,290.5,,20,,89
