Team,,G,,Att/G,,Comp/G,,Pct,,PassYds,,Y/G,,TD,,Int,,1stD
Nebraska,,5,,33.8,,22.2,,65.7,,1140,,228,,6,,6,,54
Louisiana Tech,,5,,35,,20.2,,57.7,,1144,,228.8,,7,,6,,54
Troy,,5,,35.4,,21.4,,60.5,,1155,,231,,8,,5,,51
UTEP,,5,,25.4,,18.2,,71.7,,1165,,233,,11,,2,,55
Texas St.,,5,,29.8,,18.6,,62.4,,1166,,233.2,,5,,0,,57
Oklahoma St.,,5,,35.2,,21,,59.7,,1168,,233.6,,4,,5,,55
Oregon,,5,,39.2,,20.2,,51.5,,1186,,237.2,,8,,7,,50
Cent. Michigan,,5,,35.4,,19.4,,54.8,,1188,,237.6,,8,,9,,50
Baylor,,5,,30.2,,19.8,,65.6,,1188,,237.6,,9,,1,,48
UNLV,,4,,38.5,,24.5,,63.6,,1190,,297.5,,10,,3,,53
Charlotte,,5,,28.8,,19.2,,66.7,,1206,,241.2,,4,,2,,53
USC,,5,,38.8,,20.8,,53.6,,1207,,241.4,,8,,8,,49
Notre Dame,,5,,39,,22,,56.4,,1208,,241.6,,9,,5,,56
Iowa,,5,,38.2,,23,,60.2,,1210,,242,,8,,5,,60
N. Mex. St.,,5,,33.6,,19.6,,58.3,,1217,,243.4,,8,,8,,55
N. Carolina,,5,,30.6,,17.2,,56.2,,1225,,245,,11,,3,,48
Kansas,,4,,35.5,,23.5,,66.2,,1238,,309.5,,12,,2,,49
Texas Tech,,4,,41.8,,27.3,,65.3,,1239,,309.8,,9,,5,,59
Temple,,5,,33.2,,20,,60.2,,1265,,253,,6,,2,,55
South Carolina,,5,,36.4,,23.4,,64.3,,1269,,253.8,,4,,4,,62
UMass,,6,,30,,17.3,,57.8,,1273,,212.2,,11,,1,,54
Stanford,,5,,32.8,,21.6,,65.9,,1273,,254.6,,9,,7,,56
Tulsa,,5,,22.2,,15.2,,68.5,,1273,,254.6,,11,,4,,48
Akron,,5,,33.8,,22.2,,65.7,,1275,,255,,7,,5,,52
Kent St.,,5,,29.8,,18.4,,61.7,,1277,,255.4,,7,,6,,49
Memphis,,4,,43.3,,26,,60.1,,1285,,321.3,,13,,5,,58
San Jose St.,,6,,27.7,,17,,61.4,,1302,,217,,12,,3,,63
Pittsburgh,,5,,27.2,,15.6,,57.4,,1317,,263.4,,11,,6,,47
North Texas,,5,,37.4,,18.8,,50.3,,1362,,272.4,,14,,3,,52
California,,5,,38.6,,23.8,,61.7,,1369,,273.8,,7,,7,,60
Kentucky,,5,,38.8,,24.2,,62.4,,1377,,275.4,,9,,6,,59
Bowling Green,,5,,31.6,,20.6,,65.2,,1404,,280.8,,10,,2,,59
Ohio,,5,,40.4,,22.8,,56.4,,1407,,281.4,,12,,3,,59
N.C. State,,5,,35.6,,21.2,,59.6,,1424,,284.8,,8,,4,,51
Oregon St.,,5,,33.4,,23.4,,70.1,,1440,,288,,15,,4,,66
Texas A&M,,5,,37,,21.2,,57.3,,1458,,291.6,,12,,5,,61
South Alabama,,5,,36.4,,23.8,,65.4,,1461,,292.2,,11,,1,,65
Arizona St.,,5,,37,,24,,64.9,,1468,,293.6,,14,,2,,65
Rice,,5,,34,,23.6,,69.4,,1508,,301.6,,11,,1,,65
Connecticut,,4,,43.5,,30,,69,,1519,,379.8,,11,,1,,68
East Carolina,,5,,30.2,,20.6,,68.2,,1586,,317.2,,16,,2,,65
SMU,,5,,35.8,,23.4,,65.4,,1625,,325,,12,,4,,68
Nevada,,5,,37.2,,25.8,,69.4,,1670,,334,,14,,3,,67
