Team,,G,,Att/G,,Comp/G,,Pct,,PassYds,,Y/G,,TD,,Int,,1stD,,Long,,Sack,,YdsL
Mississippi St.,,5,,29.8,,15.2,,51,,846,,169.2,,9,,5,,36,,62,,3,,-14
Miami (FL),,3,,31,,20,,64.5,,836,,278.7,,8,,2,,33,,55,,5,,-29
LA Monroe,,4,,29.5,,18,,61,,835,,208.8,,4,,1,,37,,46,,4,,-40
Notre Dame,,5,,28,,14.4,,51.4,,833,,166.6,,6,,2,,37,,54,,8,,-46
Arkansas,,4,,24.5,,14.3,,58.2,,812,,203,,9,,3,,36,,49,,11,,-61
Texas St.,,5,,26.2,,14,,53.4,,810,,162,,3,,4,,34,,55,,15,,-95
New Mexico,,5,,19,,10.6,,55.8,,809,,161.8,,6,,4,,35,,71,,6,,-42
Tulsa,,5,,24.6,,14.2,,57.7,,802,,160.4,,2,,1,,35,,69,,5,,-33
W. Michigan,,5,,22.8,,14.2,,62.3,,795,,159,,8,,2,,37,,52,,7,,-37
Boston Coll.,,5,,35.4,,19.4,,54.8,,795,,159,,6,,8,,38,,37,,5,,-29
BYU,,5,,27.8,,14.4,,51.8,,763,,152.6,,4,,10,,36,,50,,9,,-74
UAB,,4,,24.3,,13,,53.6,,759,,189.8,,6,,1,,30,,59,,12,,-107
Minnesota,,4,,21,,12.5,,59.5,,748,,187,,3,,3,,30,,67,,1,,-11
Georgia,,5,,18.6,,10.4,,55.9,,748,,149.6,,8,,4,,26,,59,,5,,-22
Rutgers,,5,,29.6,,16,,54.1,,746,,149.2,,4,,8,,36,,48,,4,,-34
Arizona,,4,,29,,18.3,,62.9,,731,,182.8,,5,,4,,32,,43,,5,,-31
Kansas St.,,4,,21,,11,,52.4,,717,,179.3,,5,,2,,29,,70,,4,,-11
Rice,,5,,25.2,,12.4,,49.2,,709,,141.8,,2,,6,,38,,70,,12,,-64
UNLV,,4,,18.3,,10.8,,58.9,,704,,176,,4,,3,,28,,94,,7,,-27
UTSA,,3,,25,,18.7,,74.7,,702,,234,,6,,2,,35,,40,,7,,-43
UTEP,,5,,30.2,,14.2,,47,,700,,140,,3,,6,,31,,44,,12,,-85
Maryland,,4,,22.3,,15.3,,68.5,,695,,173.8,,7,,3,,30,,46,,8,,-38
Charlotte,,5,,28,,13.4,,47.9,,681,,136.2,,5,,9,,33,,52,,13,,-90
S. Diego St.,,4,,21.5,,14.3,,66.3,,677,,169.3,,7,,1,,31,,42,,14,,-76
Old Dominion,,4,,28.3,,13.3,,46.9,,655,,163.8,,4,,4,,24,,71,,5,,-41
Coastal Car.,,4,,24,,12,,50,,646,,161.5,,5,,8,,26,,86,,8,,-45
Illinois,,4,,25,,13.5,,54,,645,,161.3,,2,,6,,28,,76,,12,,-71
Georgia St.,,3,,30.7,,20.7,,67.4,,644,,214.7,,2,,4,,30,,59,,6,,-34
Florida St.,,3,,31,,17.3,,55.9,,609,,203,,3,,2,,23,,60,,12,,-80
Northern Illinois,,3,,32.3,,18.3,,56.7,,600,,200,,8,,5,,26,,81,,7,,15
Kent St.,,5,,14.8,,7.4,,50,,554,,110.8,,3,,3,,22,,75,,13,,-71
Air Force,,4,,11.8,,5.5,,46.8,,445,,111.3,,6,,2,,16,,64,,9,,-72
Tulane,,4,,15.5,,8.5,,54.8,,413,,103.3,,3,,1,,18,,62,,7,,-52
Navy,,4,,7.3,,3,,41.4,,385,,96.3,,3,,2,,9,,79,,3,,-22
Georgia Tech,,4,,8.5,,4.8,,55.9,,333,,83.3,,4,,0,,14,,44,,5,,-27
Georgia Southern,,3,,15.7,,7.3,,46.8,,234,,78,,2,,2,,7,,63,,13,,-96
Army,,5,,6,,1.4,,23.3,,116,,23.2,,1,,3,,5,,42,,0,,0
